,Py1
980906400000,0.067
980910000000,0.06
980913600000,0.058
980917200000,0.059
980920800000,0.059
980924400000,0.058
980928000000,0.056
980931600000,0.064
980935200000,0.076
980938800000,0.08
980942400000,0.093
980946000000,0.125
980949600000,0.169
980953200000,0.223
980956800000,0.272
980960400000,0.284
980964000000,0.288
980967600000,0.285
980971200000,0.274
980974800000,0.24
980978400000,0.188
980982000000,0.134
980985600000,0.093
980989200000,0.061
980992800000,0.038
980996400000,0.024
981000000000,0.017
981003600000,0.014
981007200000,0.015
981010800000,0.02
981014400000,0.03
981018000000,0.05
981021600000,0.066
981025200000,0.068
981028800000,0.06
981032400000,0.049
981036000000,0.037
981039600000,0.028
981043200000,0.022
981046800000,0.021
981050400000,0.025
981054000000,0.032
981057600000,0.04
981061200000,0.044
981064800000,0.048
981068400000,0.05
981072000000,0.062
981075600000,0.069
981079200000,0.073
981082800000,0.07
981086400000,0.064
981090000000,0.061
981093600000,0.063
981097200000,0.065
981100800000,0.067
981104400000,0.074
981108000000,0.069
981111600000,0.052
981115200000,0.036
981118800000,0.023
981122400000,0.017
981126000000,0.019
981129600000,0.037
981133200000,0.075
981136800000,0.14
981140400000,0.227
981144000000,0.329
981147600000,0.408
981151200000,0.43
981154800000,0.413
981158400000,0.414
981162000000,0.39
981165600000,0.337
981169200000,0.281
981172800000,0.241
981176400000,0.219
981180000000,0.208
981183600000,0.2
981187200000,0.18
981190800000,0.179
981194400000,0.202
981198000000,0.25
981201600000,0.316
981205200000,0.379
981208800000,0.413
981212400000,0.436
981216000000,0.449
981219600000,0.455
981223200000,0.455
981226800000,0.464
981230400000,0.461
981234000000,0.449
981237600000,0.422
981241200000,0.36
981244800000,0.375
981248400000,0.37
981252000000,0.344
981255600000,0.312
981259200000,0.27
981262800000,0.23
981266400000,0.196
981270000000,0.178
981273600000,0.137
981277200000,0.14
981280800000,0.208
981284400000,0.316
981288000000,0.429
981291600000,0.514
981295200000,0.538
981298800000,0.531
981302400000,0.558
981306000000,0.572
981309600000,0.605
981313200000,0.63
981316800000,0.626
981320400000,0.645
981324000000,0.646
981327600000,0.649
981331200000,0.703
981334800000,0.716
981338400000,0.706
981342000000,0.678
981345600000,0.656
981349200000,0.636
981352800000,0.604
981356400000,0.535
981360000000,0.432
981363600000,0.43
981367200000,0.476
981370800000,0.523
981374400000,0.532
981378000000,0.556
981381600000,0.566
981385200000,0.571
981388800000,0.585
981392400000,0.583
981396000000,0.571
981399600000,0.561
981403200000,0.552
981406800000,0.558
981410400000,0.544
981414000000,0.561
981417600000,0.664
981421200000,0.724
981424800000,0.759
981428400000,0.75
981432000000,0.707
981435600000,0.645
981439200000,0.571
981442800000,0.479
981446400000,0.4
981450000000,0.401
981453600000,0.4
981457200000,0.385
981460800000,0.362
981464400000,0.348
981468000000,0.347
981471600000,0.352
981475200000,0.346
981478800000,0.355
981482400000,0.364
981486000000,0.374
981489600000,0.413
981493200000,0.484
981496800000,0.525
981500400000,0.543
981504000000,0.591
981507600000,0.571
981511200000,0.504
981514800000,0.454
981518400000,0.444
981522000000,0.492
981525600000,0.547
981529200000,0.578
981532800000,0.548
981536400000,0.54
981540000000,0.581
981543600000,0.635
981547200000,0.658
981550800000,0.63
981554400000,0.592
981558000000,0.595
981561600000,0.62
981565200000,0.637
981568800000,0.639
981572400000,0.623
981576000000,0.609
981579600000,0.586
981583200000,0.513
981586800000,0.47
981590400000,0.504
981594000000,0.589
981597600000,0.704
981601200000,0.793
981604800000,0.834
981608400000,0.855
981612000000,0.862
981615600000,0.826
981619200000,0.759
981622800000,0.755
981626400000,0.765
981630000000,0.75
981633600000,0.718
981637200000,0.668
981640800000,0.633
981644400000,0.58
981648000000,0.538
981651600000,0.512
981655200000,0.544
981658800000,0.596
981662400000,0.639
981666000000,0.696
981669600000,0.72
981673200000,0.792
981676800000,0.886
981680400000,0.93
981684000000,0.939
981687600000,0.933
981691200000,0.921
981694800000,0.893
981698400000,0.827
981702000000,0.718
981705600000,0.607
981709200000,0.598
981712800000,0.65
981716400000,0.674
981720000000,0.674
981723600000,0.635
981727200000,0.58
981730800000,0.547
981734400000,0.54
981738000000,0.55
981741600000,0.55
981745200000,0.535
981748800000,0.515
981752400000,0.492
981756000000,0.439
981759600000,0.434
981763200000,0.464
981766800000,0.445
981770400000,0.402
981774000000,0.364
981777600000,0.32
981781200000,0.287
981784800000,0.278
981788400000,0.278
981792000000,0.262
981795600000,0.379
981799200000,0.556
981802800000,0.583
981806400000,0.547
981810000000,0.53
981813600000,0.5
981817200000,0.495
981820800000,0.464
981824400000,0.458
981828000000,0.447
981831600000,0.449
981835200000,0.465
981838800000,0.506
981842400000,0.532
981846000000,0.589
981849600000,0.687
981853200000,0.719
981856800000,0.704
981860400000,0.651
981864000000,0.563
981867600000,0.464
981871200000,0.384
981874800000,0.291
981878400000,0.251
981882000000,0.366
981885600000,0.553
981889200000,0.673
981892800000,0.656
981896400000,0.578
981900000000,0.546
981903600000,0.61
981907200000,0.668
981910800000,0.708
981914400000,0.715
981918000000,0.711
981921600000,0.7
981925200000,0.682
981928800000,0.672
981932400000,0.712
981936000000,0.778
981939600000,0.804
981943200000,0.804
981946800000,0.78
981950400000,0.744
981954000000,0.701
981957600000,0.665
981961200000,0.615
981964800000,0.486
981968400000,0.442
981972000000,0.484
981975600000,0.49
981979200000,0.485
981982800000,0.469
981986400000,0.47
981990000000,0.489
981993600000,0.494
981997200000,0.513
982000800000,0.523
982004400000,0.524
982008000000,0.529
982011600000,0.535
982015200000,0.516
982018800000,0.574
982022400000,0.625
982026000000,0.62
982029600000,0.6
982033200000,0.586
982036800000,0.58
982040400000,0.574
982044000000,0.567
982047600000,0.559
982051200000,0.504
982054800000,0.503
982058400000,0.535
982062000000,0.555
982065600000,0.557
982069200000,0.543
982072800000,0.543
982076400000,0.559
982080000000,0.602
982083600000,0.65
982087200000,0.69
982090800000,0.731
982094400000,0.742
982098000000,0.746
982101600000,0.72
982105200000,0.793
982108800000,0.846
982112400000,0.864
982116000000,0.86
982119600000,0.848
982123200000,0.833
982126800000,0.819
982130400000,0.804
982134000000,0.778
982137600000,0.744
982141200000,0.751
982144800000,0.785
982148400000,0.812
982152000000,0.814
982155600000,0.799
982159200000,0.785
982162800000,0.783
982166400000,0.791
982170000000,0.786
982173600000,0.781
982177200000,0.786
982180800000,0.791
982184400000,0.792
982188000000,0.788
982191600000,0.823
982195200000,0.879
982198800000,0.899
982202400000,0.906
982206000000,0.902
982209600000,0.895
982213200000,0.89
982216800000,0.888
982220400000,0.878
982224000000,0.862
982227600000,0.871
982231200000,0.887
982234800000,0.888
982238400000,0.882
982242000000,0.868
982245600000,0.857
982249200000,0.847
982252800000,0.844
982256400000,0.842
982260000000,0.832
982263600000,0.826
982267200000,0.826
982270800000,0.83
982274400000,0.833
982278000000,0.848
982281600000,0.887
982285200000,0.897
982288800000,0.888
982292400000,0.876
982296000000,0.873
982299600000,0.873
982303200000,0.872
982306800000,0.866
982310400000,0.84
982314000000,0.844
982317600000,0.882
982321200000,0.902
982324800000,0.899
982328400000,0.896
982332000000,0.887
982335600000,0.876
982339200000,0.865
982342800000,0.849
982346400000,0.84
982350000000,0.842
982353600000,0.834
982357200000,0.82
982360800000,0.803
982364400000,0.818
982368000000,0.841
982371600000,0.826
982375200000,0.803
982378800000,0.768
