,B1
1046242800000,0.494
1046246400000,0.498
1046250000000,0.501
1046253600000,0.472
1046257200000,0.416
1046260800000,0.42
1046264400000,0.436
1046268000000,0.456
1046271600000,0.448
1046275200000,0.433
1046278800000,0.411
1046282400000,0.389
1046286000000,0.385
1046289600000,0.395
1046293200000,0.44
1046296800000,0.449
1046300400000,0.547
1046304000000,0.624
1046307600000,0.634
1046311200000,0.613
1046314800000,0.579
1046318400000,0.541
1046322000000,0.528
1046325600000,0.539
1046329200000,0.58
1046332800000,0.601
1046336400000,0.6
1046340000000,0.569
1046343600000,0.554
1046347200000,0.519
1046350800000,0.464
1046354400000,0.425
1046358000000,0.381
1046361600000,0.364
1046365200000,0.374
1046368800000,0.395
1046372400000,0.41
1046376000000,0.425
1046379600000,0.464
1046383200000,0.501
1046386800000,0.633
1046390400000,0.709
1046394000000,0.7
1046397600000,0.682
1046401200000,0.654
1046404800000,0.631
1046408400000,0.618
