,L1
1581530400000,0.15
1581534000000,0.135
1581537600000,0.112
1581541200000,0.092
1581544800000,0.076
1581548400000,0.045
1581552000000,0.079
1581555600000,0.098
1581559200000,0.083
1581562800000,0.061
1581566400000,0.048
1581570000000,0.042
1581573600000,0.029
1581577200000,0.023
1581580800000,0.056
1581584400000,0.1
1581588000000,0.119
1581591600000,0.122
1581595200000,0.114
1581598800000,0.101
1581602400000,0.095
1581606000000,0.094
1581609600000,0.101
1581613200000,0.118
1581616800000,0.137
1581620400000,0.153
1581624000000,0.167
1581627600000,0.166
1581631200000,0.153
1581634800000,0.119
1581638400000,0.169
1581642000000,0.185
1581645600000,0.195
1581649200000,0.22
1581652800000,0.225
1581656400000,0.226
1581660000000,0.24
1581663600000,0.228
1581667200000,0.245
1581670800000,0.312
1581674400000,0.331
1581678000000,0.325
1581681600000,0.349
1581685200000,0.348
1581688800000,0.317
1581692400000,0.291
1581696000000,0.253
1581699600000,0.231
1581703200000,0.223
1581706800000,0.219
1581710400000,0.209
1581714000000,0.201
1581717600000,0.191
1581721200000,0.155
1581724800000,0.204
1581728400000,0.172
1581732000000,0.13
1581735600000,0.104
1581739200000,0.085
1581742800000,0.07
1581746400000,0.089
1581750000000,0.126
1581753600000,0.166
1581757200000,0.213
1581760800000,0.22
1581764400000,0.206
1581768000000,0.201
1581771600000,0.211
1581775200000,0.211
1581778800000,0.201
1581782400000,0.182
1581786000000,0.169
1581789600000,0.16
1581793200000,0.141
1581796800000,0.118
1581800400000,0.09
1581804000000,0.065
1581807600000,0.025
1581811200000,0.01
1581814800000,0.002
1581818400000,0.003
1581822000000,0.01
1581825600000,0.027
1581829200000,0.059
1581832800000,0.096
1581836400000,0.132
1581840000000,0.146
1581843600000,0.196
1581847200000,0.252
1581850800000,0.299
1581854400000,0.316
1581858000000,0.341
1581861600000,0.372
1581865200000,0.382
1581868800000,0.348
1581872400000,0.343
1581876000000,0.343
1581879600000,0.387
1581883200000,0.457
1581886800000,0.554
1581890400000,0.651
1581894000000,0.718
1581897600000,0.792
1581901200000,0.799
1581904800000,0.793
1581908400000,0.783
1581912000000,0.779
1581915600000,0.782
1581919200000,0.796
1581922800000,0.819
1581926400000,0.831
1581930000000,0.818
1581933600000,0.82
1581937200000,0.839
1581940800000,0.855
1581944400000,0.862
1581948000000,0.861
1581951600000,0.868
1581955200000,0.879
1581958800000,0.89
1581962400000,0.897
