,N1
1455606000000,0.579
1455609600000,0.556
1455613200000,0.442
1455616800000,0.367
1455620400000,0.466
1455624000000,0.528
1455627600000,0.57
1455631200000,0.574
1455634800000,0.531
1455638400000,0.486
1455642000000,0.464
1455645600000,0.447
1455649200000,0.425
1455652800000,0.402
1455656400000,0.415
1455660000000,0.406
1455663600000,0.546
1455667200000,0.687
1455670800000,0.759
1455674400000,0.799
1455678000000,0.819
1455681600000,0.813
1455685200000,0.796
1455688800000,0.777
1455692400000,0.755
1455696000000,0.703
1455699600000,0.545
1455703200000,0.479
1455706800000,0.498
1455710400000,0.505
1455714000000,0.453
1455717600000,0.429
1455721200000,0.369
1455724800000,0.349
1455728400000,0.354
1455732000000,0.353
1455735600000,0.344
1455739200000,0.342
1455742800000,0.337
1455746400000,0.328
1455750000000,0.51
1455753600000,0.644
1455757200000,0.718
1455760800000,0.76
1455764400000,0.765
1455768000000,0.756
1455771600000,0.767
1455775200000,0.763
1455778800000,0.706
1455782400000,0.574
1455786000000,0.401
1455789600000,0.42
1455793200000,0.489
1455796800000,0.547
1455800400000,0.614
1455804000000,0.62
1455807600000,0.566
1455811200000,0.58
1455814800000,0.609
1455818400000,0.504
1455822000000,0.41
1455825600000,0.389
1455829200000,0.374
1455832800000,0.343
1455836400000,0.48
1455840000000,0.583
1455843600000,0.663
1455847200000,0.705
1455850800000,0.702
1455854400000,0.659
1455858000000,0.568
1455861600000,0.459
1455865200000,0.359
1455868800000,0.327
1455872400000,0.305
1455876000000,0.256
1455879600000,0.186
1455883200000,0.184
1455886800000,0.2
1455890400000,0.251
1455894000000,0.293
1455897600000,0.311
1455901200000,0.361
1455904800000,0.379
1455908400000,0.376
1455912000000,0.386
1455915600000,0.388
1455919200000,0.367
1455922800000,0.423
1455926400000,0.452
1455930000000,0.451
1455933600000,0.462
1455937200000,0.481
1455940800000,0.49
1455944400000,0.484
1455948000000,0.466
1455951600000,0.447
1455955200000,0.423
1455958800000,0.334
1455962400000,0.272
1455966000000,0.281
1455969600000,0.328
1455973200000,0.368
1455976800000,0.356
1455980400000,0.311
1455984000000,0.311
1455987600000,0.35
1455991200000,0.368
1455994800000,0.386
1455998400000,0.422
1456002000000,0.462
1456005600000,0.43
1456009200000,0.53
1456012800000,0.571
1456016400000,0.559
1456020000000,0.535
1456023600000,0.517
1456027200000,0.506
1456030800000,0.498
1456034400000,0.484
1456038000000,0.479
1456041600000,0.476
1456045200000,0.415
1456048800000,0.379
1456052400000,0.408
1456056000000,0.476
1456059600000,0.492
1456063200000,0.518
1456066800000,0.502
1456070400000,0.494
1456074000000,0.484
1456077600000,0.461
1456081200000,0.457
1456084800000,0.464
1456088400000,0.444
1456092000000,0.401
1456095600000,0.432
1456099200000,0.413
1456102800000,0.395
1456106400000,0.368
1456110000000,0.367
1456113600000,0.367
1456117200000,0.352
1456120800000,0.335
1456124400000,0.329
1456128000000,0.328
1456131600000,0.284
1456135200000,0.246
1456138800000,0.251
1456142400000,0.28
1456146000000,0.321
1456149600000,0.349
1456153200000,0.337
1456156800000,0.344
1456160400000,0.365
1456164000000,0.355
1456167600000,0.369
1456171200000,0.376
1456174800000,0.364
1456178400000,0.362
1456182000000,0.454
1456185600000,0.468
1456189200000,0.45
1456192800000,0.424
1456196400000,0.41
1456200000000,0.395
1456203600000,0.368
1456207200000,0.343
1456210800000,0.331
1456214400000,0.332
1456218000000,0.305
1456221600000,0.291
1456225200000,0.305
1456228800000,0.36
1456232400000,0.403
1456236000000,0.42
1456239600000,0.42
1456243200000,0.447
1456246800000,0.485
1456250400000,0.501
1456254000000,0.503
1456257600000,0.496
1456261200000,0.495
1456264800000,0.522
1456268400000,0.628
1456272000000,0.687
1456275600000,0.718
1456279200000,0.73
1456282800000,0.731
1456286400000,0.728
1456290000000,0.725
1456293600000,0.725
1456297200000,0.727
1456300800000,0.715
1456304400000,0.601
1456308000000,0.511
1456311600000,0.511
1456315200000,0.499
1456318800000,0.485
1456322400000,0.474
1456326000000,0.447
1456329600000,0.371
1456333200000,0.31
1456336800000,0.343
1456340400000,0.476
1456344000000,0.642
1456347600000,0.665
1456351200000,0.565
1456354800000,0.571
1456358400000,0.601
1456362000000,0.648
1456365600000,0.701
1456369200000,0.762
1456372800000,0.808
1456376400000,0.832
1456380000000,0.841
1456383600000,0.834
1456387200000,0.795
1456390800000,0.618
1456394400000,0.542
1456398000000,0.55
1456401600000,0.481
1456405200000,0.491
1456408800000,0.525
1456412400000,0.543
1456416000000,0.552
1456419600000,0.571
1456423200000,0.59
1456426800000,0.599
1456430400000,0.615
1456434000000,0.61
1456437600000,0.574
1456441200000,0.726
1456444800000,0.815
1456448400000,0.845
1456452000000,0.85
1456455600000,0.858
1456459200000,0.866
1456462800000,0.875
1456466400000,0.883
1456470000000,0.875
1456473600000,0.832
1456477200000,0.696
1456480800000,0.624
1456484400000,0.609
1456488000000,0.613
1456491600000,0.625
1456495200000,0.624
1456498800000,0.625
1456502400000,0.642
1456506000000,0.662
1456509600000,0.674
1456513200000,0.677
1456516800000,0.679
1456520400000,0.654
1456524000000,0.6
1456527600000,0.624
1456531200000,0.705
1456534800000,0.737
1456538400000,0.72
1456542000000,0.71
1456545600000,0.71
1456549200000,0.701
1456552800000,0.691
1456556400000,0.674
1456560000000,0.627
1456563600000,0.436
1456567200000,0.317
1456570800000,0.302
1456574400000,0.304
1456578000000,0.274
1456581600000,0.271
1456585200000,0.272
1456588800000,0.273
1456592400000,0.274
1456596000000,0.275
1456599600000,0.279
1456603200000,0.272
1456606800000,0.27
1456610400000,0.24
1456614000000,0.301
1456617600000,0.416
1456621200000,0.488
1456624800000,0.513
1456628400000,0.512
1456632000000,0.501
1456635600000,0.485
