,Mn2
886762800000,0.009
886766400000,0.011
886770000000,0.011
886773600000,0.009
886777200000,0.006
886780800000,0.006
886784400000,0.006
886788000000,0.007
886791600000,0.009
886795200000,0.012
886798800000,0.018
886802400000,0.025
886806000000,0.031
886809600000,0.028
886813200000,0.018
886816800000,0.009
886820400000,0.004
886824000000,0.003
886827600000,0.003
886831200000,0.006
886834800000,0.011
886838400000,0.017
886842000000,0.035
886845600000,0.07
886849200000,0.09
886852800000,0.097
886856400000,0.095
886860000000,0.096
886863600000,0.099
886867200000,0.103
886870800000,0.106
886874400000,0.111
886878000000,0.112
886881600000,0.113
886885200000,0.109
886888800000,0.087
886892400000,0.102
886896000000,0.086
886899600000,0.063
886903200000,0.047
886906800000,0.041
886910400000,0.042
886914000000,0.048
886917600000,0.058
886921200000,0.068
886924800000,0.077
886928400000,0.086
886932000000,0.084
886935600000,0.077
886939200000,0.081
886942800000,0.068
886946400000,0.056
886950000000,0.054
886953600000,0.048
886957200000,0.046
886960800000,0.048
886964400000,0.058
886968000000,0.069
886971600000,0.078
886975200000,0.089
886978800000,0.131
886982400000,0.141
886986000000,0.124
886989600000,0.095
886993200000,0.073
886996800000,0.056
887000400000,0.042
887004000000,0.03
887007600000,0.02
887011200000,0.015
887014800000,0.017
887018400000,0.028
887022000000,0.043
887025600000,0.054
887029200000,0.06
887032800000,0.061
887036400000,0.057
887040000000,0.048
887043600000,0.052
887047200000,0.062
887050800000,0.072
887054400000,0.083
887058000000,0.083
887061600000,0.08
887065200000,0.099
887068800000,0.067
887072400000,0.035
887076000000,0.016
887079600000,0.009
887083200000,0.011
887086800000,0.017
887090400000,0.027
887094000000,0.035
887097600000,0.04
887101200000,0.047
887104800000,0.058
887108400000,0.066
887112000000,0.055
887115600000,0.036
887119200000,0.022
887122800000,0.017
887126400000,0.018
887130000000,0.022
887133600000,0.03
887137200000,0.042
887140800000,0.049
887144400000,0.045
887148000000,0.035
887151600000,0.03
887155200000,0.017
887158800000,0.007
887162400000,0.003
887166000000,0.004
887169600000,0.006
887173200000,0.009
887176800000,0.013
887180400000,0.016
887184000000,0.018
887187600000,0.031
887191200000,0.045
887194800000,0.05
887198400000,0.051
887202000000,0.045
887205600000,0.044
887209200000,0.064
887212800000,0.09
887216400000,0.105
887220000000,0.126
887223600000,0.127
887227200000,0.124
887230800000,0.121
887234400000,0.096
887238000000,0.133
887241600000,0.168
887245200000,0.159
887248800000,0.123
887252400000,0.087
887256000000,0.068
887259600000,0.062
887263200000,0.063
887266800000,0.068
887270400000,0.074
887274000000,0.077
887277600000,0.08
887281200000,0.061
887284800000,0.041
887288400000,0.036
887292000000,0.035
887295600000,0.035
887299200000,0.036
887302800000,0.042
887306400000,0.05
887310000000,0.068
887313600000,0.107
887317200000,0.13
887320800000,0.144
887324400000,0.217
887328000000,0.245
887331600000,0.201
887335200000,0.128
887338800000,0.082
887342400000,0.06
887346000000,0.045
887349600000,0.035
887353200000,0.034
887356800000,0.048
887360400000,0.095
887364000000,0.138
887367600000,0.126
887371200000,0.133
887374800000,0.122
887378400000,0.108
887382000000,0.114
887385600000,0.118
887389200000,0.118
887392800000,0.133
887396400000,0.154
887400000000,0.167
887403600000,0.147
887407200000,0.121
887410800000,0.126
887414400000,0.105
887418000000,0.082
887421600000,0.058
887425200000,0.041
887428800000,0.037
887432400000,0.048
887436000000,0.07
887439600000,0.1
887443200000,0.144
887446800000,0.193
887450400000,0.224
887454000000,0.214
887457600000,0.168
887461200000,0.128
887464800000,0.089
887468400000,0.046
887472000000,0.03
887475600000,0.032
887479200000,0.045
887482800000,0.055
887486400000,0.068
887490000000,0.086
887493600000,0.094
887497200000,0.144
887500800000,0.163
887504400000,0.133
887508000000,0.098
887511600000,0.074
887515200000,0.057
887518800000,0.041
887522400000,0.027
887526000000,0.023
887529600000,0.042
887533200000,0.103
887536800000,0.144
887540400000,0.124
887544000000,0.152
887547600000,0.185
887551200000,0.177
887554800000,0.152
887558400000,0.129
887562000000,0.103
887565600000,0.115
887569200000,0.133
887572800000,0.144
887576400000,0.166
887580000000,0.171
887583600000,0.195
887587200000,0.192
887590800000,0.151
887594400000,0.091
887598000000,0.051
887601600000,0.041
887605200000,0.034
887608800000,0.025
887612400000,0.025
887616000000,0.025
887619600000,0.031
887623200000,0.043
887626800000,0.045
887630400000,0.04
887634000000,0.038
887637600000,0.035
887641200000,0.04
887644800000,0.048
887648400000,0.047
887652000000,0.037
887655600000,0.033
887659200000,0.039
887662800000,0.037
887666400000,0.022
887670000000,0.026
887673600000,0.034
887677200000,0.028
887680800000,0.011
887684400000,0.001
887688000000,0.002
887691600000,0.003
887695200000,0.016
887698800000,0.054
887702400000,0.079
887706000000,0.101
887709600000,0.104
887713200000,0.088
887716800000,0.096
887720400000,0.102
887724000000,0.094
887727600000,0.101
887731200000,0.12
887734800000,0.155
887738400000,0.2
887742000000,0.234
887745600000,0.253
887749200000,0.262
887752800000,0.259
887756400000,0.296
887760000000,0.264
887763600000,0.198
887767200000,0.126
887770800000,0.063
887774400000,0.024
887778000000,0.009
887781600000,0.006
887785200000,0.007
887788800000,0.009
887792400000,0.014
887796000000,0.024
887799600000,0.028
887803200000,0.026
887806800000,0.02
887810400000,0.019
887814000000,0.028
887817600000,0.045
887821200000,0.067
887824800000,0.079
887828400000,0.084
887832000000,0.088
887835600000,0.084
887839200000,0.076
887842800000,0.08
887846400000,0.068
887850000000,0.057
887853600000,0.048
887857200000,0.042
887860800000,0.037
887864400000,0.036
887868000000,0.035
887871600000,0.035
887875200000,0.037
887878800000,0.045
887882400000,0.053
887886000000,0.051
887889600000,0.039
887893200000,0.032
887896800000,0.025
887900400000,0.018
887904000000,0.01
887907600000,0.007
887911200000,0.008
887914800000,0.015
887918400000,0.029
887922000000,0.041
887925600000,0.039
887929200000,0.042
887932800000,0.048
887936400000,0.055
887940000000,0.057
887943600000,0.055
887947200000,0.049
887950800000,0.046
887954400000,0.046
887958000000,0.048
887961600000,0.056
887965200000,0.079
887968800000,0.102
887972400000,0.095
887976000000,0.071
887979600000,0.046
887983200000,0.035
887986800000,0.032
887990400000,0.023
887994000000,0.015
887997600000,0.012
888001200000,0.012
888004800000,0.013
888008400000,0.017
888012000000,0.02
888015600000,0.023
888019200000,0.024
888022800000,0.02
888026400000,0.013
888030000000,0.006
888033600000,0.002
888037200000,0.002
888040800000,0.0
888044400000,0.008
888048000000,0.023
888051600000,0.053
888055200000,0.086
888058800000,0.098
888062400000,0.095
888066000000,0.09
888069600000,0.1
888073200000,0.113
888076800000,0.13
888080400000,0.144
888084000000,0.14
888087600000,0.143
888091200000,0.144
888094800000,0.143
888098400000,0.166
888102000000,0.213
888105600000,0.197
888109200000,0.16
888112800000,0.124
888116400000,0.098
888120000000,0.092
888123600000,0.093
888127200000,0.107
888130800000,0.14
888134400000,0.186
888138000000,0.227
888141600000,0.251
888145200000,0.251
888148800000,0.227
888152400000,0.209
888156000000,0.202
888159600000,0.188
888163200000,0.204
888166800000,0.216
888170400000,0.203
888174000000,0.194
888177600000,0.185
888181200000,0.152
888184800000,0.115
888188400000,0.146
888192000000,0.133
888195600000,0.095
888199200000,0.062
888202800000,0.044
888206400000,0.036
888210000000,0.036
888213600000,0.039
888217200000,0.049
888220800000,0.067
888224400000,0.103
888228000000,0.128
888231600000,0.104
888235200000,0.078
888238800000,0.059
888242400000,0.051
888246000000,0.027
888249600000,0.012
888253200000,0.008
888256800000,0.007
888260400000,0.005
888264000000,0.005
888267600000,0.008
888271200000,0.011
888274800000,0.015
888278400000,0.017
888282000000,0.013
888285600000,0.005
888289200000,0.001
888292800000,0.0
888296400000,0.0
888300000000,0.002
888303600000,0.003
888307200000,0.005
888310800000,0.007
888314400000,0.01
888318000000,0.013
888321600000,0.014
888325200000,0.01
888328800000,0.008
888332400000,0.009
888336000000,0.009
888339600000,0.009
888343200000,0.008
888346800000,0.008
888350400000,0.008
888354000000,0.009
888357600000,0.009
888361200000,0.006
888364800000,0.001
888368400000,0.0
888372000000,0.0
888375600000,0.004
888379200000,0.021
888382800000,0.048
888386400000,0.064
888390000000,0.073
888393600000,0.088
888397200000,0.113
888400800000,0.118
888404400000,0.096
888408000000,0.071
888411600000,0.07
888415200000,0.089
888418800000,0.1
888422400000,0.101
888426000000,0.102
888429600000,0.107
888433200000,0.115
888436800000,0.119
888440400000,0.124
888444000000,0.123
888447600000,0.13
888451200000,0.109
888454800000,0.089
888458400000,0.074
888462000000,0.072
888465600000,0.077
888469200000,0.085
888472800000,0.093
888476400000,0.104
888480000000,0.121
888483600000,0.142
888487200000,0.147
888490800000,0.119
888494400000,0.101
888498000000,0.089
888501600000,0.084
888505200000,0.077
888508800000,0.073
888512400000,0.069
888516000000,0.068
888519600000,0.066
888523200000,0.065
888526800000,0.061
888530400000,0.045
888534000000,0.039
888537600000,0.025
888541200000,0.015
888544800000,0.009
888548400000,0.008
888552000000,0.01
888555600000,0.011
888559200000,0.011
888562800000,0.012
888566400000,0.018
888570000000,0.041
888573600000,0.054
888577200000,0.045
888580800000,0.034
888584400000,0.028
888588000000,0.025
888591600000,0.02
888595200000,0.013
888598800000,0.009
888602400000,0.007
888606000000,0.01
888609600000,0.02
888613200000,0.025
888616800000,0.023
888620400000,0.022
888624000000,0.025
888627600000,0.027
888631200000,0.022
888634800000,0.01
888638400000,0.002
888642000000,0.003
888645600000,0.004
888649200000,0.018
888652800000,0.054
888656400000,0.088
888660000000,0.082
888663600000,0.065
888667200000,0.05
888670800000,0.053
888674400000,0.054
888678000000,0.03
888681600000,0.012
888685200000,0.008
888688800000,0.014
888692400000,0.034
888696000000,0.066
888699600000,0.093
888703200000,0.133
888706800000,0.18
888710400000,0.175
888714000000,0.14
888717600000,0.112
888721200000,0.096
888724800000,0.083
888728400000,0.079
888732000000,0.09
888735600000,0.12
888739200000,0.173
888742800000,0.219
888746400000,0.211
888750000000,0.187
888753600000,0.179
888757200000,0.144
888760800000,0.11
888764400000,0.085
888768000000,0.085
888771600000,0.082
888775200000,0.091
888778800000,0.117
888782400000,0.156
888786000000,0.18
888789600000,0.188
888793200000,0.278
888796800000,0.302
888800400000,0.285
888804000000,0.253
888807600000,0.239
888811200000,0.253
888814800000,0.28
888818400000,0.314
888822000000,0.368
888825600000,0.433
888829200000,0.488
888832800000,0.554
888836400000,0.599
888840000000,0.568
888843600000,0.539
888847200000,0.448
888850800000,0.364
888854400000,0.284
888858000000,0.214
888861600000,0.167
888865200000,0.127
888868800000,0.107
888872400000,0.093
888876000000,0.09
888879600000,0.16
888883200000,0.212
888886800000,0.226
888890400000,0.2
888894000000,0.162
888897600000,0.141
888901200000,0.134
888904800000,0.137
888908400000,0.142
888912000000,0.147
888915600000,0.176
888919200000,0.178
888922800000,0.195
888926400000,0.314
888930000000,0.391
888933600000,0.364
888937200000,0.294
888940800000,0.254
888944400000,0.241
888948000000,0.249
888951600000,0.245
888955200000,0.234
888958800000,0.225
888962400000,0.239
888966000000,0.278
888969600000,0.264
888973200000,0.227
888976800000,0.201
888980400000,0.2
888984000000,0.233
888987600000,0.261
888991200000,0.264
888994800000,0.263
888998400000,0.27
889002000000,0.268
889005600000,0.242
889009200000,0.24
889012800000,0.249
889016400000,0.247
889020000000,0.231
889023600000,0.196
889027200000,0.167
889030800000,0.155
889034400000,0.148
889038000000,0.158
889041600000,0.174
889045200000,0.167
889048800000,0.179
889052400000,0.206
889056000000,0.171
889059600000,0.123
889063200000,0.076
889066800000,0.04
889070400000,0.023
889074000000,0.019
889077600000,0.024
889081200000,0.034
889084800000,0.061
889088400000,0.114
889092000000,0.139
889095600000,0.13
889099200000,0.115
889102800000,0.133
889106400000,0.132
889110000000,0.138
889113600000,0.144
889117200000,0.184
889120800000,0.208
889124400000,0.218
889128000000,0.237
889131600000,0.212
889135200000,0.184
889138800000,0.3
889142400000,0.385
889146000000,0.351
889149600000,0.249
889153200000,0.134
889156800000,0.053
889160400000,0.022
889164000000,0.024
889167600000,0.042
889171200000,0.067
889174800000,0.094
889178400000,0.094
889182000000,0.074
889185600000,0.052
889189200000,0.043
889192800000,0.05
889196400000,0.038
