,V1
665438400000,0.187
665442000000,0.197
665445600000,0.17
665449200000,0.171
665452800000,0.162
665456400000,0.134
665460000000,0.1
665463600000,0.076
665467200000,0.066
665470800000,0.062
665474400000,0.065
665478000000,0.083
665481600000,0.117
665485200000,0.167
665488800000,0.218
665492400000,0.225
665496000000,0.199
665499600000,0.194
665503200000,0.203
665506800000,0.205
665510400000,0.198
665514000000,0.201
665517600000,0.22
665521200000,0.234
665524800000,0.238
665528400000,0.237
665532000000,0.225
665535600000,0.296
665539200000,0.323
665542800000,0.305
665546400000,0.274
665550000000,0.251
665553600000,0.228
665557200000,0.202
665560800000,0.19
665564400000,0.186
665568000000,0.186
665571600000,0.195
665575200000,0.229
665578800000,0.231
665582400000,0.235
665586000000,0.233
665589600000,0.235
665593200000,0.236
665596800000,0.233
665600400000,0.233
665604000000,0.261
665607600000,0.289
665611200000,0.315
665614800000,0.301
665618400000,0.267
665622000000,0.304
665625600000,0.311
665629200000,0.311
665632800000,0.307
665636400000,0.311
665640000000,0.314
665643600000,0.31
665647200000,0.313
665650800000,0.333
665654400000,0.364
665658000000,0.357
665661600000,0.337
665665200000,0.315
665668800000,0.32
665672400000,0.302
665676000000,0.254
665679600000,0.233
665683200000,0.203
665686800000,0.175
665690400000,0.171
665694000000,0.185
665697600000,0.213
665701200000,0.21
665704800000,0.203
665708400000,0.291
665712000000,0.369
665715600000,0.379
665719200000,0.349
665722800000,0.334
665726400000,0.34
665730000000,0.364
665733600000,0.398
665737200000,0.432
665740800000,0.444
665744400000,0.384
665748000000,0.338
665751600000,0.316
665755200000,0.311
665758800000,0.31
665762400000,0.281
665766000000,0.261
665769600000,0.261
665773200000,0.267
665776800000,0.283
665780400000,0.303
665784000000,0.32
665787600000,0.312
665791200000,0.283
665794800000,0.32
665798400000,0.405
665802000000,0.434
665805600000,0.386
665809200000,0.338
665812800000,0.312
665816400000,0.309
665820000000,0.324
665823600000,0.351
665827200000,0.329
665830800000,0.258
665834400000,0.238
665838000000,0.227
665841600000,0.233
665845200000,0.261
665848800000,0.278
665852400000,0.251
665856000000,0.222
665859600000,0.223
665863200000,0.245
665866800000,0.272
