,N1
696844800000,0.103
696848400000,0.001
696852000000,0.0
696855600000,0.0
696859200000,0.0
696862800000,0.0
696866400000,0.0
696870000000,0.0
696873600000,0.0
696877200000,0.0
696880800000,0.0
696884400000,0.0
696888000000,0.0
696891600000,0.0
696895200000,0.03
696898800000,0.19
696902400000,0.356
696906000000,0.508
696909600000,0.621
696913200000,0.665
696916800000,0.664
696920400000,0.605
696924000000,0.509
696927600000,0.356
696931200000,0.16
696934800000,0.004
696938400000,0.0
696942000000,0.0
696945600000,0.0
696949200000,0.0
696952800000,0.0
696956400000,0.0
696960000000,0.0
696963600000,0.0
696967200000,0.0
696970800000,0.0
696974400000,0.0
696978000000,0.0
696981600000,0.045
696985200000,0.234
696988800000,0.45
696992400000,0.592
696996000000,0.682
696999600000,0.719
697003200000,0.715
697006800000,0.651
697010400000,0.541
697014000000,0.37
697017600000,0.165
697021200000,0.003
697024800000,0.0
697028400000,0.0
697032000000,0.0
697035600000,0.0
697039200000,0.0
697042800000,0.0
697046400000,0.0
697050000000,0.0
697053600000,0.0
697057200000,0.0
697060800000,0.0
697064400000,0.0
697068000000,0.044
697071600000,0.244
697075200000,0.456
697078800000,0.598
697082400000,0.685
697086000000,0.724
697089600000,0.717
697093200000,0.657
697096800000,0.55
697100400000,0.387
697104000000,0.18
697107600000,0.006
697111200000,0.0
697114800000,0.0
697118400000,0.0
697122000000,0.0
697125600000,0.0
697129200000,0.0
697132800000,0.0
697136400000,0.0
697140000000,0.0
697143600000,0.0
697147200000,0.0
697150800000,0.0
697154400000,0.046
697158000000,0.25
697161600000,0.458
697165200000,0.597
697168800000,0.684
697172400000,0.725
697176000000,0.72
697179600000,0.662
697183200000,0.558
697186800000,0.397
697190400000,0.188
697194000000,0.008
697197600000,0.0
697201200000,0.0
697204800000,0.0
697208400000,0.0
697212000000,0.0
697215600000,0.0
697219200000,0.0
697222800000,0.0
697226400000,0.0
697230000000,0.0
697233600000,0.0
697237200000,0.0
697240800000,0.049
697244400000,0.248
697248000000,0.453
697251600000,0.603
697255200000,0.691
