,B1
760770000000,0.622
760773600000,0.446
760777200000,0.29
760780800000,0.11
760784400000,0.0
760788000000,0.0
760791600000,0.0
760795200000,0.0
760798800000,0.0
760802400000,0.0
760806000000,0.0
760809600000,0.0
760813200000,0.0
760816800000,0.0
760820400000,0.0
760824000000,0.0
760827600000,0.0
760831200000,0.08
760834800000,0.273
760838400000,0.491
760842000000,0.623
760845600000,0.702
760849200000,0.729
760852800000,0.711
760856400000,0.592
760860000000,0.485
760863600000,0.332
760867200000,0.162
760870800000,0.003
760874400000,0.0
760878000000,0.0
760881600000,0.0
760885200000,0.0
760888800000,0.0
760892400000,0.0
760896000000,0.0
760899600000,0.0
760903200000,0.0
760906800000,0.0
760910400000,0.0
760914000000,0.0
760917600000,0.08
760921200000,0.28
760924800000,0.459
760928400000,0.585
760932000000,0.662
760935600000,0.689
760939200000,0.669
760942800000,0.602
760946400000,0.495
760950000000,0.34
760953600000,0.147
760957200000,0.002
760960800000,0.0
760964400000,0.0
760968000000,0.0
760971600000,0.0
760975200000,0.0
760978800000,0.0
760982400000,0.0
760986000000,0.0
760989600000,0.0
760993200000,0.0
760996800000,0.0
761000400000,0.0
761004000000,0.066
761007600000,0.27
761011200000,0.476
761014800000,0.626
761018400000,0.72
761022000000,0.757
761025600000,0.741
761029200000,0.675
761032800000,0.557
761036400000,0.388
761040000000,0.159
761043600000,0.004
761047200000,0.0
761050800000,0.0
761054400000,0.0
761058000000,0.0
761061600000,0.0
761065200000,0.0
761068800000,0.0
761072400000,0.0
761076000000,0.0
761079600000,0.0
761083200000,0.0
761086800000,0.0
761090400000,0.099
761094000000,0.325
761097600000,0.515
761101200000,0.64
761104800000,0.716
761108400000,0.749
761112000000,0.732
761115600000,0.666
761119200000,0.556
761122800000,0.392
761126400000,0.177
761130000000,0.005
761133600000,0.0
761137200000,0.0
761140800000,0.0
761144400000,0.0
761148000000,0.0
761151600000,0.0
761155200000,0.0
761158800000,0.0
761162400000,0.0
761166000000,0.0
761169600000,0.0
761173200000,0.0
761176800000,0.103
761180400000,0.314
761184000000,0.497
761187600000,0.63
761191200000,0.703
761194800000,0.735
761198400000,0.718
761202000000,0.656
761205600000,0.546
761209200000,0.382
761212800000,0.172
761216400000,0.004
761220000000,0.0
761223600000,0.0
761227200000,0.0
761230800000,0.0
761234400000,0.0
761238000000,0.0
761241600000,0.0
761245200000,0.0
761248800000,0.0
761252400000,0.0
761256000000,0.0
761259600000,0.0
761263200000,0.093
761266800000,0.299
761270400000,0.475
761274000000,0.603
761277600000,0.681
761281200000,0.713
761284800000,0.697
761288400000,0.634
761292000000,0.514
761295600000,0.341
761299200000,0.137
761302800000,0.003
761306400000,0.0
761310000000,0.0
761313600000,0.0
761317200000,0.0
761320800000,0.0
761324400000,0.0
761328000000,0.0
761331600000,0.0
761335200000,0.0
761338800000,0.0
761342400000,0.0
761346000000,0.0
761349600000,0.103
761353200000,0.317
761356800000,0.504
761360400000,0.63
761364000000,0.708
761367600000,0.672
761371200000,0.607
761374800000,0.528
761378400000,0.424
761382000000,0.301
761385600000,0.121
761389200000,0.0
761392800000,0.0
761396400000,0.0
761400000000,0.0
761403600000,0.0
761407200000,0.0
761410800000,0.0
761414400000,0.0
761418000000,0.0
761421600000,0.0
761425200000,0.0
761428800000,0.0
761432400000,0.0
761436000000,0.099
761439600000,0.312
761443200000,0.499
761446800000,0.632
761450400000,0.72
761454000000,0.75
761457600000,0.728
761461200000,0.659
761464800000,0.542
761468400000,0.379
761472000000,0.176
761475600000,0.005
761479200000,0.0
761482800000,0.0
761486400000,0.0
761490000000,0.0
761493600000,0.0
761497200000,0.0
761500800000,0.0
761504400000,0.0
761508000000,0.0
761511600000,0.0
761515200000,0.0
761518800000,0.0
761522400000,0.08
761526000000,0.256
761529600000,0.425
761533200000,0.604
761536800000,0.689
761540400000,0.737
761544000000,0.709
761547600000,0.666
761551200000,0.547
761554800000,0.366
761558400000,0.142
761562000000,0.004
761565600000,0.0
761569200000,0.0
761572800000,0.0
761576400000,0.0
761580000000,0.0
761583600000,0.0
761587200000,0.0
761590800000,0.0
761594400000,0.0
761598000000,0.0
761601600000,0.0
761605200000,0.0
761608800000,0.102
761612400000,0.323
761616000000,0.517
761619600000,0.65
761623200000,0.735
761626800000,0.767
761630400000,0.752
761634000000,0.69
761637600000,0.575
761641200000,0.407
761644800000,0.193
761648400000,0.008
761652000000,0.0
761655600000,0.0
761659200000,0.0
761662800000,0.0
761666400000,0.0
761670000000,0.0
761673600000,0.0
761677200000,0.0
761680800000,0.0
761684400000,0.0
761688000000,0.0
761691600000,0.0
761695200000,0.115
761698800000,0.328
761702400000,0.52
761706000000,0.657
761709600000,0.738
761713200000,0.769
761716800000,0.753
761720400000,0.69
761724000000,0.577
761727600000,0.41
761731200000,0.197
761734800000,0.009
761738400000,0.0
761742000000,0.0
761745600000,0.0
761749200000,0.0
761752800000,0.0
761756400000,0.0
761760000000,0.0
761763600000,0.0
761767200000,0.0
761770800000,0.0
761774400000,0.0
761778000000,0.0
761781600000,0.112
761785200000,0.332
761788800000,0.522
761792400000,0.657
761796000000,0.739
761799600000,0.771
761803200000,0.756
761806800000,0.693
761810400000,0.579
761814000000,0.411
761817600000,0.196
761821200000,0.009
761824800000,0.0
761828400000,0.0
761832000000,0.0
761835600000,0.0
761839200000,0.0
761842800000,0.0
761846400000,0.0
761850000000,0.0
761853600000,0.0
761857200000,0.0
761860800000,0.0
761864400000,0.0
761868000000,0.115
761871600000,0.329
761875200000,0.528
761878800000,0.661
761882400000,0.741
761886000000,0.772
761889600000,0.757
761893200000,0.694
761896800000,0.58
761900400000,0.413
761904000000,0.198
761907600000,0.009
761911200000,0.0
761914800000,0.0
761918400000,0.0
761922000000,0.0
761925600000,0.0
761929200000,0.0
761932800000,0.0
761936400000,0.0
761940000000,0.0
761943600000,0.0
761947200000,0.0
761950800000,0.0
761954400000,0.113
761958000000,0.328
761961600000,0.525
761965200000,0.661
761968800000,0.741
761972400000,0.771
761976000000,0.756
761979600000,0.694
761983200000,0.582
761986800000,0.416
761990400000,0.202
761994000000,0.009
761997600000,0.0
762001200000,0.0
762004800000,0.0
762008400000,0.0
762012000000,0.0
762015600000,0.0
762019200000,0.0
762022800000,0.0
762026400000,0.0
762030000000,0.0
762033600000,0.0
762037200000,0.0
762040800000,0.09
762044400000,0.317
762048000000,0.519
762051600000,0.654
762055200000,0.733
762058800000,0.764
762062400000,0.749
762066000000,0.686
762069600000,0.573
762073200000,0.405
762076800000,0.19
762080400000,0.009
762084000000,0.0
762087600000,0.0
762091200000,0.0
762094800000,0.0
762098400000,0.0
762102000000,0.0
762105600000,0.0
762109200000,0.0
762112800000,0.0
762116400000,0.0
762120000000,0.0
762123600000,0.0
762127200000,0.077
762130800000,0.278
762134400000,0.491
762138000000,0.631
762141600000,0.705
762145200000,0.713
762148800000,0.718
762152400000,0.658
762156000000,0.546
762159600000,0.374
762163200000,0.174
762166800000,0.006
762170400000,0.0
762174000000,0.0
762177600000,0.0
762181200000,0.0
762184800000,0.0
762188400000,0.0
762192000000,0.0
762195600000,0.0
762199200000,0.0
762202800000,0.0
762206400000,0.0
762210000000,0.0
762213600000,0.084
762217200000,0.288
762220800000,0.495
762224400000,0.641
762228000000,0.734
762231600000,0.767
762235200000,0.752
762238800000,0.688
762242400000,0.571
762246000000,0.397
762249600000,0.177
762253200000,0.006
762256800000,0.0
762260400000,0.0
762264000000,0.0
762267600000,0.0
762271200000,0.0
762274800000,0.0
762278400000,0.0
762282000000,0.0
762285600000,0.0
762289200000,0.0
762292800000,0.0
762296400000,0.0
762300000000,0.107
762303600000,0.33
762307200000,0.511
762310800000,0.642
762314400000,0.72
762318000000,0.752
762321600000,0.742
762325200000,0.684
762328800000,0.573
762332400000,0.408
762336000000,0.196
762339600000,0.009
762343200000,0.0
762346800000,0.0
762350400000,0.0
762354000000,0.0
762357600000,0.0
762361200000,0.0
762364800000,0.0
762368400000,0.0
762372000000,0.0
762375600000,0.0
762379200000,0.0
762382800000,0.0
762386400000,0.105
762390000000,0.319
762393600000,0.502
762397200000,0.64
762400800000,0.718
762404400000,0.745
762408000000,0.732
762411600000,0.624
762415200000,0.506
762418800000,0.388
762422400000,0.179
762426000000,0.008
762429600000,0.0
762433200000,0.0
762436800000,0.0
762440400000,0.0
762444000000,0.0
762447600000,0.0
762451200000,0.0
762454800000,0.0
762458400000,0.0
762462000000,0.0
762465600000,0.0
762469200000,0.0
762472800000,0.096
762476400000,0.308
762480000000,0.493
762483600000,0.63
762487200000,0.712
762490800000,0.74
762494400000,0.724
762498000000,0.656
762501600000,0.53
762505200000,0.355
762508800000,0.151
762512400000,0.007
762516000000,0.0
762519600000,0.0
762523200000,0.0
762526800000,0.0
762530400000,0.0
762534000000,0.0
762537600000,0.0
762541200000,0.0
762544800000,0.0
762548400000,0.0
762552000000,0.0
762555600000,0.0
762559200000,0.091
762562800000,0.316
762566400000,0.491
762570000000,0.632
762573600000,0.716
762577200000,0.755
762580800000,0.719
762584400000,0.609
762588000000,0.44
762591600000,0.265
762595200000,0.136
762598800000,0.008
762602400000,0.0
762606000000,0.0
762609600000,0.0
762613200000,0.0
762616800000,0.0
762620400000,0.0
762624000000,0.0
762627600000,0.0
762631200000,0.0
762634800000,0.0
762638400000,0.0
762642000000,0.0
762645600000,0.061
762649200000,0.245
762652800000,0.414
762656400000,0.502
762660000000,0.543
762663600000,0.546
762667200000,0.468
762670800000,0.371
762674400000,0.268
762678000000,0.159
762681600000,0.057
762685200000,0.0
762688800000,0.0
762692400000,0.0
762696000000,0.0
762699600000,0.0
762703200000,0.0
762706800000,0.0
762710400000,0.0
762714000000,0.0
762717600000,0.0
762721200000,0.0
762724800000,0.0
762728400000,0.0
762732000000,0.06
762735600000,0.229
762739200000,0.384
762742800000,0.481
762746400000,0.544
762750000000,0.557
762753600000,0.553
762757200000,0.492
762760800000,0.374
762764400000,0.235
762768000000,0.107
762771600000,0.003
762775200000,0.0
762778800000,0.0
762782400000,0.0
762786000000,0.0
762789600000,0.0
762793200000,0.0
