,S1
981043200000,0.0
981046800000,0.0
981050400000,0.0
981054000000,0.0
981057600000,0.0
981061200000,0.0
981064800000,0.09
981068400000,0.292
981072000000,0.464
981075600000,0.589
981079200000,0.678
981082800000,0.706
981086400000,0.696
981090000000,0.631
981093600000,0.509
981097200000,0.33
981100800000,0.126
981104400000,0.0
981108000000,0.0
981111600000,0.0
981115200000,0.0
981118800000,0.0
981122400000,0.0
981126000000,0.0
981129600000,0.0
981133200000,0.0
981136800000,0.0
981140400000,0.0
981144000000,0.0
981147600000,0.0
981151200000,0.08
981154800000,0.289
981158400000,0.479
981162000000,0.621
981165600000,0.711
981169200000,0.739
981172800000,0.71
981176400000,0.611
981180000000,0.457
981183600000,0.294
981187200000,0.115
981190800000,0.0
981194400000,0.0
981198000000,0.0
981201600000,0.0
981205200000,0.0
981208800000,0.0
981212400000,0.0
981216000000,0.0
981219600000,0.0
981223200000,0.0
981226800000,0.0
981230400000,0.0
981234000000,0.0
981237600000,0.082
981241200000,0.279
981244800000,0.448
981248400000,0.584
981252000000,0.663
981255600000,0.712
981259200000,0.7
981262800000,0.643
981266400000,0.514
981270000000,0.333
981273600000,0.136
981277200000,0.0
981280800000,0.0
981284400000,0.0
981288000000,0.0
981291600000,0.0
981295200000,0.0
981298800000,0.0
981302400000,0.0
981306000000,0.0
981309600000,0.0
981313200000,0.0
981316800000,0.0
981320400000,0.0
981324000000,0.055
981327600000,0.232
981331200000,0.418
981334800000,0.568
981338400000,0.67
981342000000,0.713
981345600000,0.67
981349200000,0.54
981352800000,0.381
981356400000,0.23
981360000000,0.105
981363600000,0.0
981367200000,0.0
981370800000,0.0
981374400000,0.0
981378000000,0.0
981381600000,0.0
981385200000,0.0
981388800000,0.0
981392400000,0.0
981396000000,0.0
981399600000,0.0
981403200000,0.0
981406800000,0.0
981410400000,0.073
981414000000,0.27
981417600000,0.458
981421200000,0.563
981424800000,0.596
981428400000,0.615
981432000000,0.584
981435600000,0.515
981439200000,0.404
981442800000,0.245
981446400000,0.072
981450000000,0.0
981453600000,0.0
981457200000,0.0
981460800000,0.0
981464400000,0.0
981468000000,0.0
981471600000,0.0
981475200000,0.0
981478800000,0.0
