,S1
951937200000,0.794
951940800000,0.806
951944400000,0.834
951948000000,0.807
951951600000,0.832
951955200000,0.901
951958800000,0.935
951962400000,0.939
951966000000,0.941
951969600000,0.952
951973200000,0.953
951976800000,0.947
951980400000,0.917
951984000000,0.851
951987600000,0.794
951991200000,0.769
951994800000,0.755
951998400000,0.763
952002000000,0.768
952005600000,0.775
952009200000,0.761
952012800000,0.704
952016400000,0.703
952020000000,0.695
952023600000,0.69
952027200000,0.668
952030800000,0.663
952034400000,0.672
952038000000,0.651
952041600000,0.718
952045200000,0.777
952048800000,0.824
952052400000,0.838
952056000000,0.849
952059600000,0.849
952063200000,0.83
952066800000,0.768
952070400000,0.656
952074000000,0.622
952077600000,0.636
952081200000,0.644
952084800000,0.7
952088400000,0.695
952092000000,0.718
952095600000,0.752
952099200000,0.729
952102800000,0.737
952106400000,0.759
952110000000,0.791
952113600000,0.789
952117200000,0.776
952120800000,0.722
952124400000,0.701
952128000000,0.794
952131600000,0.801
952135200000,0.768
952138800000,0.72
952142400000,0.663
952146000000,0.605
952149600000,0.55
952153200000,0.484
952156800000,0.425
952160400000,0.402
952164000000,0.433
952167600000,0.473
952171200000,0.518
952174800000,0.599
952178400000,0.642
952182000000,0.647
952185600000,0.635
952189200000,0.614
952192800000,0.61
952196400000,0.559
952200000000,0.517
952203600000,0.459
952207200000,0.376
952210800000,0.334
952214400000,0.453
952218000000,0.497
952221600000,0.479
952225200000,0.445
952228800000,0.391
952232400000,0.334
952236000000,0.286
952239600000,0.233
952243200000,0.174
952246800000,0.161
952250400000,0.153
952254000000,0.13
952257600000,0.104
952261200000,0.09
952264800000,0.092
952268400000,0.099
952272000000,0.114
