,Mn4
918216000000,0.729
918219600000,0.661
918223200000,0.592
918226800000,0.578
918230400000,0.607
918234000000,0.595
918237600000,0.499
918241200000,0.42
918244800000,0.379
918248400000,0.374
918252000000,0.395
918255600000,0.441
918259200000,0.472
918262800000,0.432
918266400000,0.338
918270000000,0.236
918273600000,0.132
918277200000,0.069
918280800000,0.048
918284400000,0.035
918288000000,0.03
918291600000,0.061
918295200000,0.112
918298800000,0.135
918302400000,0.152
918306000000,0.174
918309600000,0.21
918313200000,0.243
918316800000,0.261
918320400000,0.287
918324000000,0.297
918327600000,0.312
918331200000,0.315
918334800000,0.314
918338400000,0.274
918342000000,0.271
918345600000,0.285
918349200000,0.28
918352800000,0.274
918356400000,0.274
918360000000,0.279
918363600000,0.28
918367200000,0.272
918370800000,0.252
918374400000,0.217
918378000000,0.179
918381600000,0.157
918385200000,0.157
918388800000,0.149
918392400000,0.127
918396000000,0.104
918399600000,0.083
918403200000,0.061
918406800000,0.046
918410400000,0.036
918414000000,0.032
918417600000,0.035
918421200000,0.052
918424800000,0.071
918428400000,0.113
918432000000,0.184
918435600000,0.277
918439200000,0.362
918442800000,0.401
918446400000,0.41
918450000000,0.416
918453600000,0.427
918457200000,0.433
918460800000,0.407
918464400000,0.386
918468000000,0.358
918471600000,0.38
918475200000,0.379
918478800000,0.382
918482400000,0.368
918486000000,0.337
918489600000,0.33
918493200000,0.291
918496800000,0.245
918500400000,0.243
918504000000,0.253
918507600000,0.256
918511200000,0.247
918514800000,0.295
918518400000,0.395
918522000000,0.444
918525600000,0.464
918529200000,0.46
918532800000,0.454
918536400000,0.443
918540000000,0.434
918543600000,0.429
918547200000,0.393
918550800000,0.353
918554400000,0.328
918558000000,0.323
918561600000,0.32
918565200000,0.311
918568800000,0.3
918572400000,0.291
918576000000,0.293
918579600000,0.294
918583200000,0.305
918586800000,0.322
918590400000,0.343
918594000000,0.35
918597600000,0.341
918601200000,0.379
918604800000,0.473
918608400000,0.529
918612000000,0.525
918615600000,0.503
918619200000,0.457
918622800000,0.392
918626400000,0.322
918630000000,0.259
918633600000,0.207
918637200000,0.196
918640800000,0.2
918644400000,0.209
918648000000,0.212
918651600000,0.198
918655200000,0.182
918658800000,0.175
918662400000,0.185
918666000000,0.223
918669600000,0.272
918673200000,0.323
918676800000,0.378
918680400000,0.416
918684000000,0.41
918687600000,0.449
918691200000,0.494
918694800000,0.495
918698400000,0.481
918702000000,0.454
918705600000,0.429
918709200000,0.411
918712800000,0.403
918716400000,0.394
918720000000,0.386
918723600000,0.362
918727200000,0.348
918730800000,0.353
918734400000,0.343
918738000000,0.337
918741600000,0.299
918745200000,0.254
918748800000,0.223
918752400000,0.208
918756000000,0.203
918759600000,0.201
918763200000,0.189
918766800000,0.174
918770400000,0.157
918774000000,0.213
918777600000,0.321
918781200000,0.408
918784800000,0.422
918788400000,0.413
918792000000,0.444
918795600000,0.548
918799200000,0.674
918802800000,0.751
918806400000,0.705
918810000000,0.595
918813600000,0.625
918817200000,0.661
918820800000,0.655
918824400000,0.636
918828000000,0.605
918831600000,0.538
918835200000,0.448
918838800000,0.394
918842400000,0.384
918846000000,0.429
918849600000,0.467
918853200000,0.547
918856800000,0.595
918860400000,0.687
918864000000,0.77
918867600000,0.785
918871200000,0.781
918874800000,0.762
918878400000,0.747
918882000000,0.741
918885600000,0.746
918889200000,0.74
918892800000,0.718
918896400000,0.678
918900000000,0.619
918903600000,0.566
918907200000,0.519
918910800000,0.481
918914400000,0.449
918918000000,0.447
918921600000,0.46
918925200000,0.476
918928800000,0.492
918932400000,0.527
918936000000,0.547
918939600000,0.547
918943200000,0.513
918946800000,0.498
918950400000,0.556
918954000000,0.571
918957600000,0.563
918961200000,0.545
918964800000,0.556
918968400000,0.586
918972000000,0.625
918975600000,0.678
918979200000,0.7
918982800000,0.685
918986400000,0.731
918990000000,0.746
918993600000,0.715
918997200000,0.674
919000800000,0.644
919004400000,0.618
919008000000,0.599
919011600000,0.585
919015200000,0.571
919018800000,0.561
919022400000,0.553
919026000000,0.55
919029600000,0.535
919033200000,0.592
919036800000,0.63
919040400000,0.591
919044000000,0.534
919047600000,0.472
919051200000,0.407
919054800000,0.352
919058400000,0.323
919062000000,0.317
919065600000,0.343
919069200000,0.352
919072800000,0.371
919076400000,0.404
919080000000,0.421
919083600000,0.413
919087200000,0.401
919090800000,0.362
919094400000,0.312
919098000000,0.282
919101600000,0.267
919105200000,0.243
919108800000,0.208
919112400000,0.223
919116000000,0.204
919119600000,0.2
919123200000,0.274
919126800000,0.315
919130400000,0.311
919134000000,0.244
919137600000,0.172
919141200000,0.114
919144800000,0.065
919148400000,0.027
919152000000,0.013
919155600000,0.026
919159200000,0.03
919162800000,0.03
919166400000,0.03
919170000000,0.031
919173600000,0.042
919177200000,0.077
919180800000,0.141
919184400000,0.217
919188000000,0.278
919191600000,0.296
919195200000,0.284
919198800000,0.281
919202400000,0.246
919206000000,0.302
919209600000,0.3
919213200000,0.225
919216800000,0.154
919220400000,0.119
919224000000,0.103
919227600000,0.09
919231200000,0.079
919234800000,0.08
919238400000,0.095
919242000000,0.102
919245600000,0.104
919249200000,0.1
919252800000,0.082
919256400000,0.062
919260000000,0.062
919263600000,0.058
919267200000,0.053
919270800000,0.046
919274400000,0.03
919278000000,0.017
919281600000,0.01
919285200000,0.011
919288800000,0.013
919292400000,0.014
919296000000,0.014
919299600000,0.016
919303200000,0.016
919306800000,0.015
919310400000,0.014
919314000000,0.012
919317600000,0.008
919321200000,0.004
919324800000,0.001
919328400000,0.0
919332000000,0.0
919335600000,0.0
919339200000,0.0
919342800000,0.001
919346400000,0.001
919350000000,0.001
919353600000,0.001
919357200000,0.002
919360800000,0.006
919364400000,0.008
919368000000,0.01
919371600000,0.01
919375200000,0.008
919378800000,0.008
919382400000,0.004
919386000000,0.001
919389600000,0.0
919393200000,0.0
919396800000,0.0
919400400000,0.0
919404000000,0.003
919407600000,0.017
919411200000,0.026
919414800000,0.037
919418400000,0.036
919422000000,0.027
919425600000,0.016
919429200000,0.008
919432800000,0.004
919436400000,0.001
919440000000,0.0
919443600000,0.0
919447200000,0.001
919450800000,0.002
919454400000,0.002
919458000000,0.005
919461600000,0.012
919465200000,0.024
919468800000,0.027
919472400000,0.029
919476000000,0.033
919479600000,0.031
919483200000,0.034
919486800000,0.043
919490400000,0.056
919494000000,0.069
919497600000,0.08
919501200000,0.11
919504800000,0.162
919508400000,0.206
919512000000,0.244
919515600000,0.261
919519200000,0.248
919522800000,0.187
919526400000,0.146
919530000000,0.131
919533600000,0.136
919537200000,0.159
919540800000,0.192
919544400000,0.208
919548000000,0.219
919551600000,0.245
919555200000,0.294
919558800000,0.317
919562400000,0.341
919566000000,0.361
919569600000,0.379
919573200000,0.403
919576800000,0.414
919580400000,0.407
919584000000,0.398
919587600000,0.388
919591200000,0.421
919594800000,0.464
919598400000,0.486
919602000000,0.479
919605600000,0.517
919609200000,0.583
919612800000,0.629
919616400000,0.644
919620000000,0.619
919623600000,0.63
919627200000,0.615
919630800000,0.568
919634400000,0.487
919638000000,0.503
919641600000,0.59
919645200000,0.623
919648800000,0.635
919652400000,0.649
919656000000,0.657
919659600000,0.664
919663200000,0.676
919666800000,0.674
919670400000,0.624
919674000000,0.575
919677600000,0.556
919681200000,0.568
919684800000,0.574
919688400000,0.566
919692000000,0.575
919695600000,0.578
919699200000,0.615
919702800000,0.62
919706400000,0.61
919710000000,0.592
919713600000,0.59
919717200000,0.562
919720800000,0.523
919724400000,0.583
919728000000,0.674
919731600000,0.723
919735200000,0.744
919738800000,0.768
919742400000,0.796
919746000000,0.822
919749600000,0.826
919753200000,0.808
919756800000,0.75
919760400000,0.707
919764000000,0.711
919767600000,0.695
919771200000,0.684
919774800000,0.667
919778400000,0.667
919782000000,0.658
919785600000,0.66
919789200000,0.65
919792800000,0.632
919796400000,0.613
919800000000,0.578
919803600000,0.544
919807200000,0.519
919810800000,0.561
919814400000,0.645
919818000000,0.682
919821600000,0.674
919825200000,0.644
919828800000,0.599
919832400000,0.547
919836000000,0.495
919839600000,0.444
919843200000,0.366
919846800000,0.341
919850400000,0.345
919854000000,0.366
919857600000,0.368
919861200000,0.346
919864800000,0.337
919868400000,0.329
919872000000,0.325
919875600000,0.332
919879200000,0.326
919882800000,0.32
919886400000,0.294
919890000000,0.282
919893600000,0.272
919897200000,0.285
919900800000,0.332
919904400000,0.345
919908000000,0.334
919911600000,0.327
919915200000,0.325
919918800000,0.329
919922400000,0.344
919926000000,0.367
919929600000,0.366
919933200000,0.362
919936800000,0.329
919940400000,0.305
919944000000,0.241
919947600000,0.167
919951200000,0.112
919954800000,0.084
919958400000,0.074
919962000000,0.073
919965600000,0.085
919969200000,0.106
919972800000,0.135
919976400000,0.174
919980000000,0.178
919983600000,0.198
919987200000,0.22
919990800000,0.249
919994400000,0.304
919998000000,0.362
920001600000,0.404
920005200000,0.434
920008800000,0.454
920012400000,0.449
920016000000,0.393
920019600000,0.346
920023200000,0.331
920026800000,0.341
920030400000,0.323
920034000000,0.3
920037600000,0.281
920041200000,0.245
920044800000,0.219
920048400000,0.211
920052000000,0.223
920055600000,0.261
920059200000,0.327
920062800000,0.413
920066400000,0.503
920070000000,0.634
920073600000,0.759
920077200000,0.811
920080800000,0.831
920084400000,0.829
920088000000,0.822
920091600000,0.814
920095200000,0.805
920098800000,0.773
920102400000,0.71
920106000000,0.644
920109600000,0.598
920113200000,0.574
920116800000,0.566
920120400000,0.57
920124000000,0.593
920127600000,0.639
920131200000,0.672
920134800000,0.663
920138400000,0.656
920142000000,0.627
920145600000,0.585
920149200000,0.544
920152800000,0.49
920156400000,0.561
920160000000,0.638
920163600000,0.668
920167200000,0.69
920170800000,0.707
920174400000,0.706
920178000000,0.682
920181600000,0.635
920185200000,0.568
920188800000,0.48
920192400000,0.428
920196000000,0.417
920199600000,0.41
920203200000,0.391
920206800000,0.333
920210400000,0.32
920214000000,0.388
920217600000,0.498
920221200000,0.552
920224800000,0.538
920228400000,0.544
920232000000,0.569
920235600000,0.672
920239200000,0.746
920242800000,0.845
920246400000,0.876
920250000000,0.758
920253600000,0.523
920257200000,0.296
920260800000,0.171
920264400000,0.103
920268000000,0.068
920271600000,0.045
920275200000,0.02
920278800000,0.012
920282400000,0.022
920286000000,0.056
920289600000,0.095
920293200000,0.134
920296800000,0.162
920300400000,0.162
920304000000,0.151
920307600000,0.164
920311200000,0.169
920314800000,0.181
920318400000,0.191
920322000000,0.192
920325600000,0.157
920329200000,0.123
920332800000,0.141
920336400000,0.165
920340000000,0.179
920343600000,0.205
920347200000,0.22
920350800000,0.228
920354400000,0.252
920358000000,0.302
920361600000,0.259
920365200000,0.175
920368800000,0.134
920372400000,0.112
920376000000,0.097
920379600000,0.091
920383200000,0.089
920386800000,0.083
920390400000,0.067
920394000000,0.047
920397600000,0.031
920401200000,0.031
920404800000,0.041
920408400000,0.057
920412000000,0.062
920415600000,0.063
920419200000,0.052
920422800000,0.042
920426400000,0.041
920430000000,0.038
920433600000,0.036
920437200000,0.036
920440800000,0.031
920444400000,0.027
920448000000,0.028
920451600000,0.035
920455200000,0.039
920458800000,0.041
920462400000,0.044
920466000000,0.05
920469600000,0.059
920473200000,0.055
920476800000,0.037
920480400000,0.026
920484000000,0.026
920487600000,0.028
920491200000,0.029
920494800000,0.03
920498400000,0.031
920502000000,0.046
920505600000,0.059
920509200000,0.066
920512800000,0.076
920516400000,0.09
920520000000,0.097
920523600000,0.095
920527200000,0.09
920530800000,0.077
920534400000,0.064
920538000000,0.056
920541600000,0.06
920545200000,0.064
920548800000,0.061
920552400000,0.053
920556000000,0.042
920559600000,0.037
920563200000,0.034
920566800000,0.03
920570400000,0.025
920574000000,0.021
920577600000,0.021
920581200000,0.024
920584800000,0.027
920588400000,0.036
920592000000,0.051
920595600000,0.071
920599200000,0.084
920602800000,0.085
920606400000,0.081
920610000000,0.079
920613600000,0.077
920617200000,0.07
920620800000,0.063
920624400000,0.058
920628000000,0.061
920631600000,0.065
920635200000,0.076
920638800000,0.102
920642400000,0.142
920646000000,0.176
920649600000,0.146
920653200000,0.101
920656800000,0.065
920660400000,0.044
920664000000,0.036
920667600000,0.032
920671200000,0.029
920674800000,0.038
920678400000,0.054
920682000000,0.06
920685600000,0.066
920689200000,0.071
920692800000,0.072
920696400000,0.066
920700000000,0.055
920703600000,0.043
920707200000,0.032
920710800000,0.031
920714400000,0.041
920718000000,0.058
920721600000,0.075
920725200000,0.093
920728800000,0.112
920732400000,0.104
